Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-11.2,-1.3,29.1,58.24,36.13,-87.83,65.4030806476,-7.47097250374
-8.1,-0.7,-22.33,169.39,34.9824,-88.0755,10.0752206682,-143.652846313
-6.5,4.9,-22.33,169.39,8.5127,-66.3219,-14.6092144992,-124.850912232
-6.8,3.2,-22.33,169.39,8.1365,-66.2544,-15.0079843971,-124.760234792
-8.7,-4.0,-22.33,169.39,38.2289,-86.2939,12.8288123293,-144.431723282
-8.7,-4.0,-22.33,169.39,38.229,-86.2938,12.8289040821,-144.431733761
21.7,-0.5,-22.33,169.48,-22.6127,-68.9111,-40.4185424593,-129.819881893
21.9,-0.5,-22.33,169.48,-22.6127,-68.9111,-40.4185424593,-129.819881893
-3.4,21.3,-58.62,-14.9,39.868,32.7934,-10.2598281625,13.7804357591
-3.7,16.8,-58.62,-14.9,53.9353,10.3169,-2.41694126572,-1.50686626705
15.0,-4.7,-58.62,-14.9,28.3057,85.3464,-22.1323344003,52.2900384139
15.4,-3.0,-58.62,-14.9,28.8562,85.2939,-21.7590123356,52.0961692614
-3.2,25.75,-58.62,-14.9,47.0784,13.3447,-5.98475203912,1.14205976538
-5.2,13.0,-58.62,-14.9,50.7012,29.2242,-4.29783882812,9.42564943805
-5.7,9.0,-58.62,-14.9,67.8979,34.6514,5.13554355081,5.62449029178
-3.2,21.8,-58.62,-14.9,51.9663,6.7989,-3.41014888137,-3.12989675736
7.1,-3.0,-9.69,123.01,41.6069,-111.565,31.2560648782,170.833778765
7.4,-1.2,-9.69,123.01,40.5799,-122.541,26.7141871447,168.873108008
7.4,-1.2,-9.69,123.01,40.58,-122.54,26.7145571142,168.873332318
-12.2,-15.6,-37.95,-73.75,65.616,-37.637,14.5374985038,-61.5080408942
26.05,18.0,-37.95,-73.75,-1.1271,37.2525,-31.8119361327,-8.522963723
-12.5,-1.9,-3.52,150.75,48.3311,8.3303,48.0119698179,110.021733053
-11.9,0.7,-3.52,150.75,49.1309,13.5782,45.6928096124,110.082852718
-11.7,-4.5,-3.52,150.75,59.6491,9.5982,49.7721755725,123.048997241
26.25,22.2,-3.52,150.75,29.3343,-103.668,20.7625270993,-161.527855831
26.35,22.0,-3.52,150.75,29.334,-103.668,20.7623019017,-161.527746496
-10.1,-6.5,-3.52,150.75,42.618,23.235,37.6923552863,104.022208721
29.85,-9.4,34.2,141.87,32.3713,-64.6963,70.7736024353,-138.877865335
29.85,-9.5,34.2,141.87,32.3713,-64.6963,70.7736024353,-138.877865335
5.8,-8.6,-35.21,-70.36,-20.0882,146.255,-58.6415838065,-153.897688092
-2.9,29.15,-55.43,-28.79,47.2505,15.5232,-4.44036940712,-4.5516952051
-4.0,14.5,-55.43,-28.79,48.3319,8.3311,-3.76618737335,-8.71105889057
-3.6,16.1,-55.43,-28.79,47.2867,9.8803,-4.33969778208,-7.66779002499
-8.3,-3.0,-55.43,-28.79,24.8861,103.671,-31.1974765908,65.0660732833
-3.0,18.6,-55.43,-28.79,50.415,12.461,-2.69637965664,-6.91637211854
22.8,14.0,11.25,-87.02,47.8651,107.053,68.6815540617,-113.356932149
27.15,-7.1,-11.2,162.17,39.5446,-4.3499,56.8210516834,124.440406727
19.5,15.4,9.5,-84.32,-21.1712,55.7399,-16.7884244555,-18.7116458275
13.5,-12.9,19.05,-81.52,30.2762,109.494,77.1067212577,-140.934567772
-7.4,12.6,19.05,-81.52,-9.4047,147.16,11.6548924361,-149.888439811
12.2,-8.3,19.05,-81.52,47.8651,107.053,74.4550463502,-101.095276974
13.3,-5.1,4.97,92.22,60.0057,-127.776,54.15319593,119.920730247
14.9,-4.3,4.97,92.22,60.4834,-133.307,52.439334999,120.637842569
15.7,-4.8,4.97,92.22,47.2545,-120.666,55.7174498826,133.099668093
-7.9,4.9,-0.47,-20.53,40.0183,116.168,42.9487734107,29.3656389697
12.7,2.6,-0.47,-20.53,2.6938,98.9237,2.21812470801,39.1443440196
-9.0,-1.3,-0.47,-20.53,19.0291,109.844,21.387438978,41.1838969367
-9.0,-1.3,-0.47,-20.53,19.0291,109.844,21.387438978,41.1838969367
-8.3,-2.0,-0.47,-20.53,34.0313,108.924,34.8943596161,32.9935865368
7.4,-15.0,34.01,141.95,9.9092,-66.3847,57.5307889257,-123.395543805
-11.8,-5.5,4.8,126.66,37.7456,-105.501,40.9252772024,177.369607047
28.65,-1.7,-5.52,122.23,34.1561,-118.82,26.5394012627,172.846114537
14.8,2.8,-3.36,-81.15,34.9611,33.331,27.4599007189,-32.576660138
-7.7,3.4,-44.91,-80.68,-9.4047,147.16,-50.0231883941,-167.037081512
14.1,21.0,11.06,-86.7,-1.1271,37.2525,10.5469206962,-23.726527852
-25.1,-27.65,-5.69,152.08,11.53,42.847,5.05739682016,98.0845895396
-8.7,8.4,-15.04,-178.43,42.639,74.494,22.2378098855,138.383069529
-9.3,1.0,-15.04,-178.43,-18.7655,-52.8393,-33.7537984767,-116.733663766
-24.6,-3.3,-0.2,124.95,33.2682,-116.417,30.0446205003,175.731705527
-7.6,5.9,-54.57,-135.91,43.9708,-74.2236,-6.19384833129,-101.390664804
-9.6,3.9,-54.57,-135.91,44.7694,-79.1417,-5.59372358278,-104.40653272
15.7,1.3,-3.35,127.31,34.0006,-115.998,27.4399886655,177.13074088
14.9,1.2,-3.35,127.31,38.1448,-122.88,28.3678656002,172.652807543
13.6,1.2,-3.35,127.31,36.764,-121.447,27.8101223192,173.855382518
16.0,1.8,-3.35,127.31,40.5799,-122.541,30.1278574487,171.403476344
29.95,3.3,-29.49,-176.41,36.13,-87.83,4.65399191019,-134.204110456
-25.2,-28.45,-5.99,151.36,11.53,42.847,4.75629297598,97.695110848
-2.5,24.4,46.38,153.64,14.735,-61.1463,60.2785979182,-105.694064168
27.75,-9.0,46.38,153.64,0.2376,-78.4508,42.7399710131,-121.858229247
28.35,-9.0,46.38,153.64,0.2376,-78.4508,42.7399710131,-121.858229247
27.55,-5.0,46.38,153.64,-0.6742,-90.2861,37.5135384588,-131.972737297
24.8,-16.6,46.38,153.64,-8.9489,-63.1831,43.6627833643,-106.688710188
24.8,-16.6,46.38,153.64,-8.9489,-63.1831,43.6627833643,-106.688710188
28.05,3.1,46.38,153.64,-77.5172,161.853,-15.713127708,155.597104141
-3.9,26.15,19.83,-155.94,49.4689,11.5608,73.0565977337,-131.222337877
-3.9,17.6,19.83,-155.94,49.1121,11.6767,73.2146081822,-130.912829546
-2.1,26.65,19.83,-155.94,41.59,34.332,76.3964525265,170.939558732
-4.3,16.2,-6.57,151.58,38.2289,-86.2939,29.9828423083,-159.272836268
-2.6,26.05,-8.16,118.8,44.0035,-123.83,31.2071013105,162.924896918
-11.8,10.9,-55.12,146.26,32.8889,-117.105,-16.2256740543,-153.402782559
-11.9,12.2,-55.12,146.26,32.7006,-112.228,-17.0826510064,-149.847280056
-12.5,12.3,-55.12,146.26,32.5618,-111.704,-17.2650220211,-149.416059237
-7.2,8.0,-55.12,146.26,48.9983,-122.085,-4.41298077987,-163.87473057
-6.6,8.8,-55.12,146.26,49.048,-120.384,-4.44527689994,-162.93260251
-8.1,9.4,-55.12,146.26,48.958,-116.363,-4.68636474125,-160.562595869
-11.1,9.9,-55.12,146.26,34.6871,-118.299,-14.8265238519,-154.854550776
-13.2,11.2,-55.12,146.26,34.946,-106.457,-16.3822059915,-146.50207675
-6.9,8.3,-55.12,146.26,48.2641,-122.096,-4.93749768903,-163.456829838
-8.2,7.9,-55.12,146.26,48.4607,-120.12,-4.88354327518,-162.42874494
-12.4,11.4,-55.12,146.26,32.68,-116.672,-16.4306946254,-153.027040894
-9.9,10.0,-55.12,146.26,34.2623,-116.921,-15.3007359274,-153.746498175
-10.4,10.0,-55.12,146.26,33.6552,-115.454,-15.9261579551,-152.499823935
