Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-4.7,21.3,20.69,119.98,63.6482,-144.07,51.5973630089,146.422277419
-3.4,21.8,20.69,119.98,57.0569,-135.324,51.377975722,153.433931209
-8.7,17.9,20.69,119.98,60.1043,-149.453,49.2055572029,148.194948132
-0.4,26.75,19.83,-155.94,-31.8769,141.595,-7.0519878844,174.595841549
-5.2,18.0,29.34,140.38,48.4702,-104.196,55.9651168011,-174.018988406
-4.0,16.8,29.34,140.38,35.8996,-116.275,45.9342638883,-170.59414493
-1.7,16.1,29.34,140.38,37.7227,-119.807,45.8263178551,-173.002785973
-4.3,26.65,-6.61,151.45,43.8138,87.7049,21.5798311148,125.182761977
-8.0,22.1,46.24,154.44,50.764,5.9317,76.3646024199,89.1639139622
-1.6,23.8,4.69,-78.53,60.4399,-141.144,36.2914740275,-98.2587931139
-2.2,19.4,37.28,136.61,40.373,34.269,52.1145716504,86.9806843834
-6.1,29.15,37.28,136.61,46.7917,22.7111,58.7087746794,86.2170062796
-6.1,26.35,37.28,136.61,49.8375,18.1472,61.4030902136,87.3182065723
-3.1,22.1,37.28,136.61,49.67,12.678,63.2607921657,85.5541417791
-6.4,22.2,37.28,136.61,51.888,20.595,61.3032594503,90.0046434975
-5.0,27.05,37.28,136.61,45.8657,26.7277,57.0024774649,87.0725750238
-2.1,26.85,37.28,136.61,47.2638,11.6363,62.8460237251,82.7667214334
-2.0,26.95,37.28,136.61,49.4392,14.1928,62.6424883452,85.7447185868
-4.2,19.3,13.43,-91.22,78.9154,11.9385,52.1262968407,-79.7968290758
-7.4,24.0,13.43,-91.22,60.136,-1.17783,45.2703135229,-64.0576943573
-8.9,10.6,0.81,-30.04,34.9611,33.331,20.7685916213,-1.83947068049
-8.1,19.3,0.81,-30.04,42.636,-114.903,28.2033461297,-64.5774680091
-8.5,29.95,0.81,-30.04,45.4909,25.945,25.7881915877,-7.36177210339
